trans_id,acct_num,trans_category,trans_timestamp,trans_amount,currency,trans_status,entry_timestamp,transaction_location,merchant_id
11263874,203354,Withdrawal,2023-12-11 21:32:26,824.78,USD,Pending,2023-12-11 21:32:26,Los Angeles,5147
19981262,881563,Withdrawal,2024-04-11 21:32:26,125.88,USD,Completed,2024-04-11 21:32:26,Houston,8610
95059533,970458,Deposit,2024-08-24 21:32:26,999.91,USD,Pending,2024-08-24 21:32:26,Chicago,9804
98812576,185681,Withdrawal,2024-09-14 21:32:26,773.44,USD,Failed,2024-09-14 21:32:26,Chicago,4958
70200969,343967,Withdrawal,2024-04-27 21:32:26,838.78,USD,Pending,2024-04-27 21:32:26,New York,1585
25105548,648900,Withdrawal,2024-02-17 21:32:26,154.58,USD,Failed,2024-02-17 21:32:26,Houston,2037
65243810,285375,Withdrawal,2024-04-18 21:32:26,120.34,USD,Pending,2024-04-18 21:32:26,Los Angeles,5340
41657647,749103,Deposit,2024-10-09 21:32:26,4252.33,USD,Pending,2024-10-09 21:32:26,Los Angeles,7434
33452666,337216,Deposit,2024-04-30 21:32:26,3437.74,USD,Pending,2024-04-30 21:32:26,Phoenix,6124
62542995,681046,Withdrawal,2024-10-13 21:32:26,583.97,USD,Completed,2024-10-13 21:32:26,New York,4472
56703102,770985,Withdrawal,2024-01-27 21:32:26,50.23,USD,Failed,2024-01-27 21:32:26,Los Angeles,7289
52823140,435571,Deposit,2024-03-16 21:32:26,3992.68,USD,Failed,2024-03-16 21:32:26,Houston,9027
55982855,628720,Transfer,2024-03-21 21:32:26,1228.69,USD,Completed,2024-03-21 21:32:26,Phoenix,7207
95311819,777742,Transfer,2024-07-17 21:32:26,570.88,USD,Pending,2024-07-17 21:32:26,Los Angeles,7293
35014521,950413,Transfer,2023-12-20 21:32:26,328.94,USD,Completed,2023-12-20 21:32:26,Los Angeles,1065
79630514,201366,Withdrawal,2024-04-30 21:32:26,463.15,USD,Completed,2024-04-30 21:32:26,Phoenix,6940
76243638,874117,Withdrawal,2024-08-20 21:32:26,922.61,USD,Failed,2024-08-20 21:32:26,New York,9838
73998423,451887,Withdrawal,2024-03-11 21:32:26,909.49,USD,Completed,2024-03-11 21:32:26,Houston,8556
11374558,974349,Deposit,2023-12-31 21:32:26,3445.55,USD,Completed,2023-12-31 21:32:26,Chicago,5321
23553054,452137,Deposit,2024-06-22 21:32:26,4263.95,USD,Completed,2024-06-22 21:32:26,New York,8253
35654624,503723,Withdrawal,2024-02-02 21:32:26,340.2,USD,Completed,2024-02-02 21:32:26,New York,4131
65120229,412338,Transfer,2024-02-17 21:32:26,312.89,USD,Completed,2024-02-17 21:32:26,New York,7745
